答案代號,問題,代號
LQA-6-1,我要買1號餐2份，3份9號餐,1
LQA-6-2,我要三份11號餐飲料兩杯豆漿一杯豆漿紅茶,1
LQA-6-3,你好，我想訂一個招牌三明治，明天早上8:00左右去拿，謝謝,1
LQA-6-4,你好，我想訂一個香蔥蛋椒鹽燒肉吐司，明天早上8:00左右去拿，謝謝,1
LQA-6-5,我要烤土司一半奶酥一半花生，伯爵紅茶,1
LQA-6-6,5個招牌8:30拿,1
LQA-6-7,豬排蛋吐司三個 司蛋吐司一個,1
LQA-6-8,您好 我想要一份豬排蛋吐司加小黃瓜、招牌三明治1份，奶茶去冰，溫豆漿一杯 微糖,1
LQA-6-9,椒鹽蔥蛋餅*1丹麥小黃瓜蛋吐司*1(不要美乃滋)謝謝！內用哦,1
LQA-6-10,再一片白吐司 不用加東西,1
LQA-6-11,豆漿紅茶-熱*1鮪魚玉米土司*1 司蔬菜蛋餅*1薯豬排丹麥吐司*1豬排蛋餅*1(不要美乃滋)待會到~外帶哦 ！謝謝??,1
LQA-6-12,我想要花生+奶酥吐司,1
LQA-6-13,您好，我想預約餐點自取里肌豬排三明治*2鮪魚玉米蛋吐司*1花生培根蛋吐司*1紅茶中杯*1以上  OK? ,1
LQA-6-14,玉米 司蛋吐司，不要美奶滋，跟伯爵紅茶熱微糖等等內用,1
LQA-6-15,我要一個餐包跟伯爵紅茶大杯熱的等等拿,1
LQA-6-16,我要餐包，濃湯，跟伯爵紅等等過去內用,1
LQA-6-17,我要雞塊餐包跟伯爵紅茶大杯微糖微冰,1
LQA-6-18,我要一個5號一個8號套餐，飲料是冰豆漿跟冰紅茶一個11號餐，飲料冰紅茶一個薯泥 司蛋餅一個薯泥火腿蛋丹麥吐司,1
LQA-6-19,我要一個燒肉雞蛋丹麥吐司+薯泥 司蛋餅+小杯紅茶鮮奶（溫，如果可以調甜度就半糖） 等等過去拿∼謝謝,1
LQA-6-20,我要2號餐 培根蛋吐司+豆漿紅茶（冰）$50跟3號餐丹麥吉事蛋+豆漿紅茶（溫）$50這樣,1
LQA-6-21,1號餐搭配古早味紅茶 去冰,1
LQA-6-22,燒肉煎蛋土司+丹麥+ 司紅茶鮮奶?L豆漿鮮奶?L玉米蛋餅,1
LQA-6-23,醬燒肉片三明治+ 司升級a套餐（紅茶鮮奶大，?）玉米蛋餅  *1古早味紅茶大 ?,1
LQA-6-24,醬燒肉片三明治+ 司+B套餐（紅茶鮮奶L熱）玉米蛋餅,1
LQA-6-25,椒麻拌麵55沙爹豬肉拌麵75招牌三明治40奶油餐包35等下自取,1
LQA-6-26,一個九號餐 飲料豆漿紅茶火星小薯餅 司蛋餅,1
LQA-6-27,一個九號餐 飲料改為豆漿紅茶,1
LQA-6-28,薯泥沙拉蛋吐司一個燒肉蛋吐司2個,1
LQA-6-29,您好我要兩個里肌豬排三明治,1
LQA-6-30,一個一號甜不辣換薯條（冬瓜茶）一個里肌豬排三明治一個6號（豆漿紅茶）一顆荷包蛋全熟我8:15在過去拿唷∼,1
LQA-6-31,請問一號配餐甜不辣可以換薯條嗎？,1
LQA-6-32,招牌三明治+一杯豆漿紅茶,1
LQA-6-33,我要3個招牌三明治加蕃茄，等一下去拿，謝謝。,1
LQA-6-34,里肌豬排三明治 咖啡拿鐵去冰無糖,1
LQA-6-35,3個 丹麥 司蛋1個花生丹麥2個草莓丹麥2個餐包一杯大杯古早味紅茶紅茶去冰請問多久去拿呢？金額是？謝謝您,1
LQA-6-36,1個 丹麥 司蛋一杯大杯古早味紅茶紅茶去冰請問多久去拿呢？金額是？,1
LQA-6-37,我要訂3份小黃瓜 士蛋土司一份玉米蛋餅和培根蛋餅,1
LQA-6-38,要一份玉米蛋餅和培根蛋餅2分鮪魚蛋吐司1分小黃瓜 士蛋吐司吐司要烤酥,1
LQA-6-39,我要訂一份小黃瓜 士蛋土司4份鮪魚蛋土司要考酥點,1
LQA-6-40,我要訂鮪魚蛋吐司一份要烤酥點和 士蛋吐司飲料紅茶豆漿26:30，去拿,1
LQA-6-41,4個火腿蛋餅，分兩盒裝，謝謝。,1
LQA-6-42,外帶： 蘿蔔糕*1，火腿蛋餅*2（裝一盒），卡啦雞堡（原味）*1。謝謝。,1
LQA-6-43,鮪魚蛋吐司（丹麥）二份加黃瓜呦伯爵鮮奶二杯,1
LQA-6-44,ㄧ份豬肉丹麥吐司！ㄧ份鮪魚蛋加黃瓜丹麥吐司！二杯伯爵奶無糖,1
LQA-6-45,鮪魚玉米夾蛋丹麥吐司加小黃瓜+1玉米濃湯+1,1
LQA-6-46,我要一個 養三明治大約7:15去拿以及一份雞塊,1
LQA-6-47,我要兩份里肌豬肉三明治，不要考太焦，蛋要全熟，其中一份要對切分開放,1
LQA-6-48,一個單點里肌豬排三明治一個8號餐飲料是小伯爵紅茶正常糖全熱我要明天11號大概7點45取餐麻煩你們哦~謝謝?,1
LQA-6-49,一份素招+小冰紅一個薯餅蛋餅+小冰紅一個培根蛋餅+小冰紅一份醬燒肉片三明治+小冰紅一份一號餐（招牌+甜不辣+15元飲料那個）小冰紅茶一份薯泥火腿蛋丹麥吐司+小紅鮮奶茶,1
LQA-6-50,2個原味蛋餅1個雙倍 司蛋土司1個11號餐4個丹麥吉事蛋1份甜不辣,1
LQA-6-51,明天早上6：40我要3份丹麥吉事蛋，一份 司蛋餅，二份薯條,1
LQA-6-52,我要(1)『特級培根三明治+豆漿紅茶(常溫)』(2)『里肌豬排三明治+紅茶鮮奶(冰)』(3)『1號餐+冬瓜茶(常溫)』,1
LQA-6-53,我要兩個 司蛋餅 一份雞塊 燒肉蛋吐司 豆漿鮮奶s ,1
LQA-6-54,你好我要一個9號 飲料溫豆漿請問幾分鐘會好∼,1
LQA-6-55,請問一號餐的甜不辣可以換薯條嗎,1
LQA-6-56,哈囉 我要訂餐 4/28 早上8:55取餐 電話09XXXXX 向小姐我要一個薯泥沙拉蛋蘿蔔糕紅茶鮮奶M冰的,1
LQA-6-57,我要一個招牌三明治+ 司紅茶鮮奶M 冰的薯條??一份謝謝??8:55過去拿,1
LQA-6-58,一份肉鬆蛋吐司不抹沙拉豬排蛋餅大杯冰鮮奶茶,1
LQA-6-59,一個烏龍湯麵一杯鮮奶茶大杯,1
LQA-6-60,明早1號餐一份，飲料要豆漿6:20取餐，謝謝,1
LQA-6-61,你好我要一個培根三明治跟小杯豆漿 等等過去拿∼,1
LQA-6-62,早安辣酥雞腿堡不要菜燒肉煎蛋吐司不要菜2杯中杯鮮奶茶ㄧ溫ㄧ冰大概7:40左右過去取餐,1
LQA-6-63,6號餐 飲料冰豆漿(蛋餅不要加醬料，胡椒也不要，花生豬排蛋吐司，不要胡椒，幫我對切放在同一個袋子就好)，招牌三明治，醬燒豬排三明治,1
LQA-6-64,鮪魚蛋加 司吐司(不要胡椒，如果是調得的那就沒關係，請幫我對切，裝同一個袋子就好 )，招牌三明治*2 謝謝,1
LQA-6-65,1號餐x16號餐x1薯條x2雞塊x1熱狗x1玉米濃湯x2冬瓜茶 L杯x1伯爵紅茶L杯 半糖少冰x1,1
LQA-6-66,我要一個招牌三明治再加一顆蛋,1
LQA-6-61,1號餐*2飲料紅茶*2招牌三明治*2豬排蛋土司*1放一 原味蛋餅*1咖哩親子堡*1,1